presa_id,clavesih,nombre_presa,estado_id,latitud,longitud,pred_vol_Base,pred_pct_Base,pred_pct_base_baja,pred_pct_base_alta,pred_vol_Temp_+1C,pred_pct_Temp_+1C,pred_vol_Temp_+2C,pred_pct_Temp_+2C,pred_vol_Temp_+3C,pred_pct_Temp_+3C
89,MLPMC,"Malpaís, Mich.",MX-MIC,19.829167,-100.873611,6.858,0.3704624027657735,0.3519392826274848,0.38898552290406224,6.583679999999999,0.35564390665514256,6.24078,0.3371207865168539,5.760719999999999,0.3111884183232497
90,MNLAG,"Media Luna, Ags.",MX-AGU,21.8075,-102.788333,6.441,0.4294,0.40792999999999996,0.45087000000000005,6.1833599999999995,0.412224,5.8613100000000005,0.390754,5.4104399999999995,0.360696
91,MOCMC,"Melchor Ocampo, Mich.",MX-MIC,20.127222,-101.724444,142.6,0.733335409985622,0.6966686394863408,0.7700021804849031,136.896,0.7040019935861971,129.766,0.6673352230869161,119.78399999999999,0.6160017443879224
92,MRGTP,"Marte Rodolfo Gómez, Tamps.",MX-TAM,26.204722,-98.925556,726.441,0.9293091979020084,0.882843738006908,0.9757746577971088,697.38336,0.892136829985928,661.06131,0.8456713700908277,610.21044,0.780619726237687
93,NGRAG,"El Niágara, Ags.",MX-AGU,21.78,-102.371667,15.987,0.987583411579412,0.9382042410004413,1.0369625821583826,15.34752,0.9480800751162355,14.54817,0.8987009045372649,13.429079999999999,0.829570065726706
94,PAGCH,"Pico del Aguila, Chih.",MX-CHH,26.546389,-105.254167,32.698,0.6773137791034882,0.6434480901483138,0.7111794680586626,31.390079999999998,0.6502212279393487,29.755180000000003,0.6163555389841743,27.46632,0.5689435744469301
95,PAGDR,"Peña del Aguila, Dgo.",MX-DUR,24.203889,-104.656667,18.4,0.65836553599542,0.625447259195649,0.691283812795191,17.663999999999998,0.6320309145556032,16.744,0.5991126377558322,15.455999999999998,0.5530270502361528
96,PALZC,"Palomas, Zac.",MX-ZAC,22.347778,-102.798056,3.583,0.7755411255411255,0.7367640692640692,0.8143181818181818,3.43968,0.7445194805194805,3.26053,0.7057424242424243,3.00972,0.6514545454545454
97,PECAG,"Plutarco Elías Calles, Ags.",MX-AGU,22.141111,-102.417222,53.221,0.1486117820513178,0.14118119294875192,0.1560423711538837,51.09215999999999,0.1426673107692651,48.43111,0.1352367216666992,44.705639999999995,0.12483389692310695
98,PECSO,"Plutarco Elías Calles, Son.",MX-SON,28.976667,-109.642222,428.719,0.1513266527124285,0.14376032007680709,0.15889298534804994,411.57023999999996,0.14527358660393136,390.13429,0.13770725396830996,360.12395999999995,0.12711438827843993
99,PENCP,"Angel Albino Corzo, Chis.",MX-CHP,17.446111,-93.458611,197.434,0.9181225905757506,0.872216461046963,0.9640287201045382,189.53663999999998,0.8813976869527206,179.66494,0.8354915574239331,165.84456,0.7712229760836306
100,PERHD,"La Esperanza, Hgo.",MX-HID,20.0575,-98.334722,3.925,1.0012754907915975,0.9512117162520176,1.0513392653311775,3.768,0.9612244711599336,3.5717499999999998,0.9111606966203537,3.2969999999999997,0.8410714122649419
101,PFBMX,"Francisco José Trinidad Fabela, Méx.",MX-MEX,19.829167,-99.790278,4.025,0.405337361530715,0.3850704934541792,0.42560422960725075,3.8640000000000003,0.3891238670694864,3.6627500000000004,0.36885699899295066,3.3810000000000002,0.34048338368580056
102,PJMTP,"Pedro José Méndez, Tamps.",MX-TAM,24.2475,-99.555833,31.65,1.0124760002281037,0.9618522002166985,1.063099800239509,30.383999999999997,0.9719769602189795,28.8015,0.9213531602075744,26.586,0.850479840191607
103,PMDMX,"Madín, Méx.",MX-MEX,19.526944,-99.260833,7.54,0.8046958377801495,0.764461045891142,0.844930629669157,7.2383999999999995,0.7725080042689435,6.861400000000001,0.7322732123799361,6.3336,0.6759445037353256
104,PMHSI,"Miguel Hidalgo, Sin.",MX-SIN,26.509722,-108.58,235.74,0.0761279197062613,0.07232152372094823,0.07993431569157437,226.3104,0.07308280291801085,214.5234,0.06927640693269779,198.0216,0.0639474525532595
105,PMNMX,"El Molino, Méx.",MX-MEX,20.124167,-99.739722,0.302,0.0392922196200884,0.03732760863908398,0.04125683060109282,0.28991999999999996,0.037720530835284864,0.27482,0.03575591985428045,0.25367999999999996,0.033005464480874255
106,PMOSO,"Ing. Rodolfo Félix Valdés, Son.",MX-SON,29.2125,-110.725556,4.506,0.0371776043299615,0.03531872411346342,0.039036484546459575,4.32576,0.03569050015676304,4.10046,0.03383161994026496,3.78504,0.031229187637167657
107,PNDMX,"Ñadó, Méx.",MX-MEX,20.038611,-99.864444,9.72,0.5785714547448992,0.5496428820076542,0.6075000274821443,9.3312,0.5554285965551032,8.8452,0.5265000238178583,8.1648,0.48600002198571535
108,PNLGJ,"Peñuelitas, Gto.",MX-GUA,21.105,-100.878333,0.964,0.0552119129438717,0.05245131729667811,0.057972508591065286,0.9254399999999999,0.05300343642611683,0.87724,0.05024284077892325,0.8097599999999999,0.04637800687285223
109,PRQHD,"Requena, Hgo.",MX-HID,19.963056,-99.310833,36.668,0.7110335466356409,0.6754818693038588,0.746585223967423,35.20128,0.6825922047702152,33.36788,0.6470405274384332,30.801119999999997,0.5972681791739384
110,PRSGJ,"La Purísima, Gto.",MX-GUA,20.867222,-101.287778,33.541,0.3049181818181818,0.2896722727272727,0.3201640909090909,32.19936,0.2927214545454545,30.522309999999997,0.27747554545454545,28.174439999999997,0.2561312727272727
111,PSANL,"Salinillas, N.L.",MX-NLE,27.429167,-100.372222,11.558,0.6079638206590091,0.5775656296260586,0.6383620116919596,11.09568,0.5836452678326487,10.51778,0.5532470767996983,9.70872,0.5106896093535677
112,PTRAG,"Derivadora Pabellón, Ags.",MX-AGU,22.235,-102.4375,1.216,0.59666336415948,0.566830195951506,0.626496532367454,1.16736,0.5727968295931007,1.10656,0.5429636613851268,1.02144,0.5011972258939631
113,PUCMC,"Pucuato, Mich.",MX-MIC,19.621389,-100.684167,5.979,0.6303637322087507,0.5988455455983132,0.6618819188191883,5.73984,0.6051491829204007,5.4408900000000004,0.5736309963099632,5.02236,0.5295055350553506
114,REDJL,"La Red, Jal.",MX-JAL,20.718889,-102.815278,11.661,0.8183157894736842,0.7774,0.8592315789473685,11.19456,0.7855831578947369,10.611509999999999,0.7446673684210526,9.79524,0.6873852631578947
115,RMEGR,"Revolución Mexicana, Gro.",MX-GRO,16.823611,-99.166111,107.585,0.8491720207744644,0.8067134197357412,0.8916306218131876,103.28159999999998,0.8152051399434858,97.90235,0.7727465389047626,90.3714,0.71330449745055
116,RODMR,"El Rodeo, Mor.",MX-MOR,18.765278,-99.331389,4.506,0.1669878492899824,0.15863845682548328,0.1753372417544815,4.32576,0.1603083353183831,4.10046,0.15195894285388398,3.78504,0.1402697934035852
117,RSPTP,"República Española, Tamps.",MX-TAM,23.259444,-97.991944,53.146,0.9701716170793973,0.9216630362254273,1.018680197933367,51.02016,0.9313647523962213,48.362860000000005,0.8828561715422515,44.64264,0.8149441583466936
118,SABMC,"Sabaneta, Mich.",MX-MIC,19.622778,-100.669444,4.994,0.990283561372199,0.940769383303589,1.0397977394408089,4.794239999999999,0.950672218917311,4.54454,0.9011580408487011,4.19496,0.8318381915526472
119,SBBMX,"José Antonio Alzate, Méx.",MX-MEX,19.465833,-99.704722,10.671,0.3021918871320851,0.28708229277548086,0.31730148148868936,10.244159999999999,0.2901042116468017,9.710609999999999,0.2749946172901975,8.96364,0.2538411851909515
120,SBYDR,"Santiago Bayacora, Dgo.",MX-DUR,23.874444,-104.675833,107.17,0.8240866947323,0.782882359995685,0.865291029468915,102.8832,0.791123226943008,97.52470000000001,0.7499188922063931,90.0228,0.6922328235751319
121,SELDR,"Santa Elena, Dgo.",MX-DUR,23.623056,-104.054444,9.51,0.6306366047745358,0.5991047745358089,0.6621684350132626,9.1296,0.6054111405835543,8.6541,0.5738793103448275,7.9883999999999995,0.52973474801061
122,SGBDR,"San Gabriel, Dgo.",MX-DUR,26.436667,-105.560833,51.06,0.2080421790303932,0.19764007007887355,0.21844428798191287,49.0176,0.19972049186917748,46.464600000000004,0.18931838291765782,42.8904,0.1747554303855303
123,SJATL,"San José Atlanga, Tlax.",MX-TLA,19.556111,-98.200556,21.121,0.4954492141684259,0.4706767534600046,0.5202216748768472,20.276159999999997,0.47563124560168885,19.22011,0.4508587848932676,17.741639999999997,0.41617733990147776
124,SJUMC,"San Juanico, Mich.",MX-MIC,19.839444,-102.651389,33.677,0.5562309026344041,0.5284193575026839,0.5840424477661244,32.32992,0.5339816665290279,30.64607,0.5061701213973078,28.28868,0.4672339582128994
125,SLSGJ,"Solís, Gto.",MX-GUA,20.055278,-100.669722,529.338,0.6616725,0.6285888749999999,0.6947561250000001,508.16447999999997,0.6352055999999999,481.69757999999996,0.602121975,444.64392,0.5558048999999999
126,SLTSI,"Ing. Aurelio Benassini Vizcaíno, Sin.",MX-SIN,24.121944,-106.695833,78.807,0.1951151275068086,0.18535937113146816,0.20487088388214902,75.65472,0.18731052240653626,71.71437,0.17755476603119583,66.19788,0.1638967071057192
127,SMGCL,"San Miguel, Coah.",MX-DESC,29.034167,-100.953889,16.885,0.7976663162460512,0.7577830004337486,0.8375496320583539,16.209600000000002,0.7657596635962092,15.365350000000001,0.7258763477839066,14.1834,0.670039705646683
128,SNLSI,"Sanalona, Sin.",MX-SIN,24.815,-107.151389,40.87,0.0594051059030099,0.0564348506078594,0.0623753611981604,39.2352,0.0570289016668895,37.1917,0.054058646371739016,34.330799999999996,0.04990028895852831
129,SOLPB,"La Soledad, Pue.",MX-PUE,19.960833,-97.446667,6.575,0.4730215827338129,0.4493705035971222,0.4966726618705036,6.312,0.45410071942446034,5.98325,0.4304496402877698,5.523,0.3973381294964028
